,channel_1,channel_2,theta,alpha,beta,gamma
96,T8-1,C3-0,0.13091672082351674,0.09876951660559426,0.11590467797180785,0.050212177893148316
97,T8-1,T7-0,0.1836407758946587,0.11340258685133088,0.0876094134783988,0.04044005432748503
98,T8-1,P7-0,0.03810931023300162,0.12801683424891774,0.03652667095139095,0.06689108943730945
99,T8-1,C4-0,0.09853465963371184,0.025391149727589518,0.08466278161940656,0.07759362244705682
100,T8-1,T8-0,0.12472656909055264,0.08809146874990267,0.11623374619890435,0.1075545341395947
101,T8-1,P8-0,0.09489003552529994,0.04008299734264836,0.0545346405558941,0.11350526338980416
102,P8-1,C3-0,0.11148877639063036,0.0751195752225613,0.1015864212588988,0.07026204335657939
103,P8-1,T7-0,0.1842456417767626,0.07550699534010323,0.10670345878209696,0.0641597260762877
104,P8-1,P7-0,0.02520975822217437,0.05165093292526563,0.1235098860497056,0.0950984056408602
105,P8-1,C4-0,0.16929135627960226,0.06791763066925205,0.06325901387778626,0.04689549335625536
106,P8-1,T8-0,0.10939731238981004,0.04374405867622106,0.06156080397258785,0.1827516072500016
107,P8-1,P8-0,0.08820291404957108,0.04927617191754181,0.09314078858211346,0.10985567487783564
108,C3-1,C3-0,0.1464606861570429,0.07593242898563829,0.06832621049431346,0.06352301371370359
109,C3-1,T7-0,0.1927641333995004,0.21407916444170694,0.09414823580921086,0.08227389513242983
110,C3-1,P7-0,0.20264981743774127,0.1892891038617324,0.052430358130367526,0.08049216056630626
111,C3-1,C4-0,0.22294722676508347,0.208350506169702,0.07680898351422627,0.05193505241840782
112,C3-1,T8-0,0.18760422395981574,0.2287619645065161,0.07549198877526674,0.08905783084110151
113,C3-1,P8-0,0.2222222401525532,0.13933597912610365,0.06011093619602599,0.2320333990925869
114,T7-1,C3-0,0.07089967194760201,0.06503948672026902,0.06613850229454375,0.07960133996313676
115,T7-1,T7-0,0.03728846720993589,0.02179774366842219,0.04296994249895026,0.09061062340835993
116,T7-1,P7-0,0.04135346282629935,0.14482713479223094,0.05848425298971895,0.09318335852300937
117,T7-1,C4-0,0.26067421241671834,0.0843329777178535,0.02859266261190857,0.05273194681996656
118,T7-1,T8-0,0.07786580851544232,0.1243540317853072,0.06370326916548691,0.11720820296889065
119,T7-1,P8-0,0.11128254152603503,0.13166838838757114,0.07937864838348306,0.09342699162245917
120,P7-1,C3-0,0.08543168052173084,0.07519465946148664,0.10955489477599012,0.05619769922036058
121,P7-1,T7-0,0.009225918111713464,0.06084399927734512,0.0460063169291602,0.1425728877320702
122,P7-1,P7-0,0.06441319142853515,0.21687514833691884,0.0308347945849206,0.09547298565860088
123,P7-1,C4-0,0.13856034724208266,0.14097718941311946,0.04550678238486843,0.1187778560969128
124,P7-1,T8-0,0.07577134992927312,0.1246956286853999,0.08610376289163027,0.04767714569080647
125,P7-1,P8-0,0.0855587709695257,0.10887523634950384,0.07287519684090718,0.07287314989577644
126,C4-1,C3-0,0.048057020965019084,0.10189385775487524,0.13528895555624226,0.06303415320716516
127,C4-1,T7-0,0.1551562875098638,0.038003122120793965,0.07228729021047588,0.09185520307761072
128,C4-1,P7-0,0.08241414005654682,0.10927294463899737,0.17631542213445806,0.08689024207823343
129,C4-1,C4-0,0.06637243086078791,0.10760080726748984,0.08568859344813891,0.04410746931623599
130,C4-1,T8-0,0.14070152414991796,0.12375504382382756,0.03466343575271557,0.17895656441928806
131,C4-1,P8-0,0.12456765002757725,0.0991013063459148,0.0959605718837594,0.2386723613720472
132,T8-1,C3-0,0.05211294510535328,0.1054397858782056,0.15812151720682405,0.10067574381071144
133,T8-1,T7-0,0.18008478572195602,0.05658295419987613,0.20828008004042925,0.09908299047313844
134,T8-1,P7-0,0.17424514911768774,0.10032413910533383,0.18423775549629395,0.1336382674907331
135,T8-1,C4-0,0.09223462581412917,0.08995621367302288,0.2572608150831207,0.08547428087654907
136,T8-1,T8-0,0.040777361355551316,0.08940383886494048,0.13545135228921198,0.1659314937712795
137,T8-1,P8-0,0.06070890358265841,0.08105816548586825,0.19844537611667226,0.0624865301936412
138,P8-1,C3-0,0.01959366936943592,0.11434038061305656,0.28113402516616137,0.1186552405088011
139,P8-1,T7-0,0.05742507807593799,0.0771939329036902,0.11986834102070988,0.061249996031911315
140,P8-1,P7-0,0.06226852681044931,0.17887161844401447,0.24145055517828706,0.08879358370671524
141,P8-1,C4-0,0.045620411084201895,0.06977635831698305,0.12793340303555875,0.07241800239634963
142,P8-1,T8-0,0.059548750084310625,0.05174531244652743,0.1541262304945253,0.16097621027127598
143,P8-1,P8-0,0.08513227964812575,0.11733504012876768,0.2117286023857525,0.09543004949212784
144,C3-1,C3-0,0.11250564683034224,0.13895066693000566,0.07545321812674534,0.11333922994708598
145,C3-1,T7-0,0.044439785659361165,0.09465361221468484,0.07881357363553354,0.1407357773419976
146,C3-1,P7-0,0.11746185403469285,0.0346833603760223,0.2004109774754948,0.1247698246697333
147,C3-1,C4-0,0.021957398448561496,0.07364397529334424,0.1895517745037398,0.08501367362501767
148,C3-1,T8-0,0.0749448328002002,0.09144619113186274,0.12830478327125433,0.1441285734403553
149,C3-1,P8-0,0.014207202784753488,0.0875587018723589,0.15956083670346352,0.057658112869075365
150,T7-1,C3-0,0.1333523991809544,0.12977534792035694,0.1277911987002133,0.06045017394721716
151,T7-1,T7-0,0.08935799048500381,0.08347358439856177,0.08195108959831733,0.06893787994583578
152,T7-1,P7-0,0.0688959127838941,0.10076701798435976,0.09871114175867167,0.06367493610945933
153,T7-1,C4-0,0.05972326645596844,0.0799331551473257,0.08874814956163472,0.04982569128108304
154,T7-1,T8-0,0.07051999842593708,0.11631528818518085,0.0534725326728932,0.1252453765243187
155,T7-1,P8-0,0.17580881143692964,0.14878594425883132,0.05263426282399057,0.04790086037600767
156,P7-1,C3-0,0.04755557818032783,0.03126325929168902,0.05216755792423949,0.05843124246843121
157,P7-1,T7-0,0.09309530917281952,0.04498466444486485,0.04609677516553963,0.10349155734228616
158,P7-1,P7-0,0.08969406740735257,0.06511911655891901,0.06384590676846688,0.06510750921222579
