,channel_1,channel_2,theta,alpha,beta,gamma
39,C3-1,C4-0,0.09995463839717927,0.12098970292960133,0.19399863948161614,0.06462775743896508
40,C3-1,T8-0,0.1088057992361022,0.3690815808400649,0.19525694154566667,0.0850023287819275
41,C3-1,P8-0,0.06687353168555919,0.2988796097552141,0.15864829810545342,0.06087667064639338
42,T7-1,C3-0,0.14856863681201915,0.14291015169818289,0.10344776685046768,0.07805255098979792
43,T7-1,T7-0,0.13164228246300058,0.09193798606273317,0.08015731849607162,0.03709316316249918
44,T7-1,P7-0,0.1686150499802799,0.13865827310389198,0.2293981997767311,0.06226552897311473
45,T7-1,C4-0,0.06654914390886686,0.14291774535339266,0.20693969437520865,0.043929359024586855
46,T7-1,T8-0,0.07888187074898706,0.3837858198438068,0.08885683297637208,0.08330224860952808
47,T7-1,P8-0,0.09003532688649951,0.2152299814586231,0.12101255911833575,0.1238207268099977
48,P7-1,C3-0,0.1682936301443337,0.13200541523187914,0.08910094315830222,0.10679738627849124
49,P7-1,T7-0,0.1710010341174134,0.11766514462644258,0.1587203297865877,0.08066663132217727
50,P7-1,P7-0,0.13995415504086076,0.17829807834552758,0.08073084842508513,0.07793066726073335
51,P7-1,C4-0,0.06807270936510641,0.25214691989989513,0.2259777320785978,0.08009731320786191
52,P7-1,T8-0,0.0181903394456672,0.4201955463180328,0.09999229682948284,0.05467936879046265
53,P7-1,P8-0,0.09644664410129493,0.2709173541055096,0.16452170754460366,0.06611338946501719
54,C4-1,C3-0,0.19073225278422976,0.07688071883298637,0.09857903842496404,0.2112995529086592
55,C4-1,T7-0,0.10941123428832232,0.0680227598538613,0.04238116854549828,0.15975806717144672
56,C4-1,P7-0,0.2523302439132498,0.03799726520488445,0.07628808048745785,0.2452890915269837
57,C4-1,C4-0,0.050325214383477535,0.2053141187305934,0.17250733061849607,0.07494052035045863
58,C4-1,T8-0,0.040666380938284216,0.22034770953592708,0.054419760506495836,0.07762787485407283
59,C4-1,P8-0,0.05691286984173456,0.17319992643927015,0.11188313870317314,0.08965201267793317
60,T8-1,C3-0,0.10508355045416486,0.08685071765263479,0.06866950531484821,0.074036622568176
61,T8-1,T7-0,0.09063180766179398,0.08873571618963158,0.10596369678690884,0.10439544458230066
62,T8-1,P7-0,0.19532859764420452,0.1078565580261263,0.07837879739479392,0.1599993269598332
63,T8-1,C4-0,0.17968409514099934,0.13041286337516084,0.07438059980907193,0.04181262954748116
64,T8-1,T8-0,0.03457013074214695,0.2710110793104184,0.06880285445377926,0.21475731896422567
65,T8-1,P8-0,0.06735286564001572,0.10701632298790208,0.11047355129086933,0.08984029485734495
66,P8-1,C3-0,0.22320935179815932,0.09138789365662317,0.04042162255828676,0.16146657038053608
67,P8-1,T7-0,0.1961061418925904,0.1978176501632933,0.1259112068988975,0.1073628193546578
68,P8-1,P7-0,0.2084640806300906,0.08854367028076793,0.06361503278878969,0.07609419798676828
