,channel_1,channel_2,theta,alpha,beta,gamma
37,C3-1,T7-0,0.1356014561827165,0.02838850364364646,0.11011340673319624,0.10682071749001834
38,C3-1,P7-0,0.15882774736264596,0.0874562873689969,0.05805605678115256,0.09050632659334887
39,C3-1,C4-0,0.12241396287284095,0.035257534019671084,0.14873396676869227,0.0906789865179767
40,C3-1,T8-0,0.0726767961930792,0.02629202133034281,0.09752719789867097,0.1225449541404544
41,C3-1,P8-0,0.1226078432993984,0.10756232089070494,0.07717877404645426,0.058977756336762034
42,T7-1,C3-0,0.10326313540868903,0.09531403661044838,0.11842123900258583,0.11302542825796776
43,T7-1,T7-0,0.2082353285190704,0.07838721973617595,0.07041073036210056,0.09236872626578443
44,T7-1,P7-0,0.20063859568514872,0.08612897590527455,0.03613874301969648,0.07026790015571506
45,T7-1,C4-0,0.21569436125224084,0.1651936072981004,0.12661084713696755,0.09022223531672156
46,T7-1,T8-0,0.1752022789485954,0.09138163539951626,0.09515790404497702,0.05733339843923116
47,T7-1,P8-0,0.2490934937310335,0.1462491165606788,0.07428522680684288,0.12019295838600075
48,P7-1,C3-0,0.07898020163817518,0.06510619662626681,0.08447728828817562,0.1443198562130256
49,P7-1,T7-0,0.12112504635084273,0.03677551715410767,0.06836667572918045,0.20965546509792254
50,P7-1,P7-0,0.14653277616089447,0.04314272218105617,0.05149808463992818,0.08156027085770066
51,P7-1,C4-0,0.109411107191521,0.1002615857221712,0.16419947166801446,0.05561111587705317
52,P7-1,T8-0,0.14554399558554973,0.0665075971429679,0.06785833266430641,0.16232148330671065
53,P7-1,P8-0,0.176354419264349,0.08854380440882348,0.1771085277214679,0.09668598063740606
54,C4-1,C3-0,0.06820410690435455,0.09709665833625022,0.12808705910497228,0.053214207146800085
55,C4-1,T7-0,0.07979820152228588,0.0459921747810056,0.05269763678860141,0.028290759899593638
56,C4-1,P7-0,0.109070295921661,0.06398031088031579,0.08946395547418244,0.07871377364406537
57,C4-1,C4-0,0.02249876557332004,0.050452456012651865,0.06377614031729052,0.06668357113808873
58,C4-1,T8-0,0.1387545900801937,0.12868919980207716,0.07879753450369033,0.1130683004748702
59,C4-1,P8-0,0.2032903378919665,0.07812906379679448,0.10523491857695164,0.14383047665039614
60,T8-1,C3-0,0.041370958806775784,0.07763830630021909,0.07810876455461807,0.09809862338607933
61,T8-1,T7-0,0.07090920483231038,0.1048351200863104,0.15487188050900885,0.03811446942833351
62,T8-1,P7-0,0.15353569587107158,0.06689283360201538,0.22848006552599934,0.08217771844984409
63,T8-1,C4-0,0.1057203085623502,0.026430146063638086,0.13949543858450755,0.055464032550670034
64,T8-1,T8-0,0.18337031911899115,0.10203869316958646,0.2121234518748087,0.1054931872051109
65,T8-1,P8-0,0.2419135620525733,0.08779382864823722,0.10318303915211216,0.10001607269604114
66,P8-1,C3-0,0.054730731196808664,0.07949766489602259,0.04415412586335775,0.07513524434832654
67,P8-1,T7-0,0.09222405067664848,0.04859588070642769,0.05238652125502267,0.12536431645978766
68,P8-1,P7-0,0.12749532194562452,0.033502273982034717,0.1395147291826075,0.10060870385726453
69,P8-1,C4-0,0.05141087434796066,0.05278266362450887,0.1942335471059795,0.0743712401622487
70,P8-1,T8-0,0.1540246962751155,0.08941794770202012,0.23099671137884026,0.09951516625419114
71,P8-1,P8-0,0.17921845718260745,0.08406883009704252,0.07103135610844724,0.07037708418772573
72,C3-1,C3-0,0.046606821099311316,0.09624577708972593,0.1017588176681278,0.10956457285174154
73,C3-1,T7-0,0.10758265220293416,0.026676622471545636,0.08670297882613473,0.05013685860022097
74,C3-1,P7-0,0.07301438409903871,0.04388886804742685,0.03556348699581581,0.06346228588458856
75,C3-1,C4-0,0.0934514178246157,0.10654894580647252,0.0438534929242812,0.06508929067238342
76,C3-1,T8-0,0.1254102223669488,0.032118711693389555,0.0909175196382249,0.07349115980017218
77,C3-1,P8-0,0.16742023041588214,0.017995542436493213,0.04338603147982088,0.10843799244859548
78,T7-1,C3-0,0.05604047772317616,0.1481706537591276,0.07457879070839198,0.10312211768046624
79,T7-1,T7-0,0.043226526131175606,0.1361835895637961,0.08961253668198386,0.18849159931734427
80,T7-1,P7-0,0.052930894297005315,0.06926479778785588,0.14401792688007334,0.031149190333765932
