,channel_1,channel_2,theta,alpha,beta,gamma
237,C4-1,C4-0,0.065174617,0.105279024,0.046458469,0.139513525
238,C4-1,T8-0,0.055199182,0.081464451,0.118335959,0.072817233
239,C4-1,P8-0,0.050867836,0.090282826,0.050141704,0.097179534
240,T8-1,C3-0,0.038532849,0.117037793,0.056977119,0.024423727
241,T8-1,T7-0,0.094836379,0.146531668,0.068392518,0.104930603
242,T8-1,P7-0,0.073830434,0.034739757,0.128347101,0.046270845
243,T8-1,C4-0,0.084661922,0.046213091,0.065989333,0.11175915
244,T8-1,T8-0,0.08727873,0.065439287,0.116514937,0.087825794
245,T8-1,P8-0,0.091494652,0.03861037,0.038288632,0.037993072
246,P8-1,C3-0,0.066095014,0.128874944,0.062423044,0.20902254
247,P8-1,T7-0,0.07112371,0.099880573,0.04976669,0.173195897
248,P8-1,P7-0,0.041469308,0.074222877,0.199291572,0.0539049
249,P8-1,C4-0,0.047088118,0.041909428,0.107275287,0.138613846
250,P8-1,T8-0,0.078689333,0.107181075,0.168479974,0.104799624
251,P8-1,P8-0,0.036661919,0.102340332,0.143414329,0.047228999
252,C3-1,C3-0,0.090025013,0.076252931,0.072949344,0.09286956
253,C3-1,T7-0,0.077813865,0.200947554,0.214489675,0.15265821
254,C3-1,P7-0,0.036799267,0.091479674,0.123512834,0.061462361
255,C3-1,C4-0,0.077629982,0.095426615,0.079554959,0.081693515
256,C3-1,T8-0,0.025938301,0.148170185,0.123239321,0.08472959
257,C3-1,P8-0,0.062357604,0.079583762,0.089014014,0.157848919
258,T7-1,C3-0,0.071442526,0.031831678,0.180995396,0.066617854
259,T7-1,T7-0,0.043204843,0.159760482,0.28107265,0.092298836
260,T7-1,P7-0,0.088964552,0.064515118,0.069735913,0.023629589
261,T7-1,C4-0,0.104631306,0.044375538,0.051382406,0.1095041
262,T7-1,T8-0,0.086180029,0.175751253,0.081378925,0.129619596
263,T7-1,P8-0,0.142511129,0.096979184,0.05124722,0.113774927
264,P7-1,C3-0,0.069292909,0.054662771,0.121810213,0.129448436
265,P7-1,T7-0,0.060171203,0.139325082,0.146849981,0.07589717
266,P7-1,P7-0,0.051355455,0.03827661,0.103759555,0.068215115
267,P7-1,C4-0,0.089215871,0.042999104,0.072877885,0.10205294
268,P7-1,T8-0,0.125902534,0.241554672,0.076374849,0.19182425
269,P7-1,P8-0,0.150877574,0.169816203,0.076392295,0.182457999
270,C4-1,C3-0,0.079171871,0.056649999,0.139435065,0.085608996
271,C4-1,T7-0,0.026872241,0.118746393,0.115004626,0.146602722
272,C4-1,P7-0,0.111725502,0.178364574,0.18215758,0.036708344
273,C4-1,C4-0,0.065945335,0.079243638,0.128601928,0.049630129
274,C4-1,T8-0,0.125549534,0.122225533,0.065510825,0.035163439
275,C4-1,P8-0,0.199811262,0.05852329,0.142643892,0.133751251
276,T8-1,C3-0,0.163642281,0.177669837,0.141720321,0.131986555
277,T8-1,T7-0,0.165518512,0.170207518,0.058963892,0.047963276
278,T8-1,P7-0,0.076570842,0.107253703,0.25808876,0.034094028
279,T8-1,C4-0,0.132380586,0.08003728,0.050659744,0.050583188
280,T8-1,T8-0,0.151563931,0.063485255,0.051280677,0.088638269
281,T8-1,P8-0,0.116528399,0.024798636,0.051531375,0.113221526
282,P8-1,C3-0,0.051523619,0.176642528,0.115636994,0.055549713
283,P8-1,T7-0,0.071958371,0.121035222,0.076430034,0.070895573
284,P8-1,P7-0,0.042519622,0.203506583,0.198292792,0.10299156
285,P8-1,C4-0,0.062834546,0.086671114,0.026066282,0.085399526
286,P8-1,T8-0,0.058945559,0.042538384,0.065944046,0.155402047
287,P8-1,P8-0,0.079186809,0.085329266,0.068750638,0.04617863
288,C3-1,C3-0,0.074239441,0.077235739,0.082263808,0.13217782
289,C3-1,T7-0,0.05332826,0.098704741,0.155812507,0.046294009
290,C3-1,P7-0,0.024324781,0.068124541,0.099922559,0.102836108
291,C3-1,C4-0,0.191200085,0.091163933,0.076159714,0.085891139
292,C3-1,T8-0,0.118363678,0.114068705,0.096055545,0.103391761
293,C3-1,P8-0,0.040192939,0.130361475,0.086598672,0.133385083
294,T7-1,C3-0,0.01230984,0.048638944,0.06713566,0.096299217
295,T7-1,T7-0,0.050744786,0.049513151,0.145969967,0.073073548
296,T7-1,P7-0,0.045387334,0.028590069,0.152377601,0.079836095
297,T7-1,C4-0,0.106781751,0.099336173,0.070629844,0.146438226
298,T7-1,T8-0,0.024484249,0.111627812,0.099655271,0.040614191
299,T7-1,P8-0,0.080935619,0.071082716,0.111537342,0.076960274
300,P7-1,C3-0,0.034529687,0.21023897,0.155824116,0.12844949
301,P7-1,T7-0,0.108222655,0.144067709,0.127431056,0.177050291
302,P7-1,P7-0,0.080680988,0.165034457,0.059206741,0.205686227
303,P7-1,C4-0,0.056000773,0.110706103,0.143553363,0.129040069
