,channel_1,channel_2,theta,alpha,beta,gamma
38,C3-1,P7-0,0.1506585829710828,0.03407158344831755,0.2006017914072169,0.11813065631305032
39,C3-1,C4-0,0.10683611544966044,0.10156182780848064,0.1254400207557769,0.05781947510793858
40,C3-1,T8-0,0.06857781508233883,0.05957024178917995,0.06942813332384602,0.13253165550030105
41,C3-1,P8-0,0.17133238207978985,0.032107721534607364,0.0979779560898281,0.07023079183497029
42,T7-1,C3-0,0.19903302699940814,0.08514311621736498,0.17551168996753788,0.11227778992759503
43,T7-1,T7-0,0.09492693801781116,0.08709495651860694,0.14436477943549125,0.09317370163721198
44,T7-1,P7-0,0.23270032170535235,0.08299245097891722,0.09904956244409316,0.14261384995462695
45,T7-1,C4-0,0.09354375597340456,0.14508490076996336,0.05268220314056683,0.07342081719205718
46,T7-1,T8-0,0.060883630946900136,0.1006871931735943,0.05108809694661633,0.09551555828989902
47,T7-1,P8-0,0.1556757677152016,0.09321531965927994,0.14177571762354996,0.10289260554185324
48,P7-1,C3-0,0.04238209597503872,0.06224002437039323,0.12575904554744374,0.04961292861685062
49,P7-1,T7-0,0.053358591171602715,0.18157789231748708,0.11201357640434227,0.03302002011513533
50,P7-1,P7-0,0.15362978630362312,0.11940345252261653,0.07301324630806819,0.12396493601858585
51,P7-1,C4-0,0.0736387490433481,0.16558302700366742,0.09976966270248436,0.04522643294969391
52,P7-1,T8-0,0.04323905023723616,0.05034969956120011,0.09056085992045504,0.2574160862467611
53,P7-1,P8-0,0.06741643630705584,0.04250166938265152,0.13350104082296788,0.13386764736256582
54,C4-1,C3-0,0.05925651670728791,0.13849875433236358,0.1445408690007073,0.09890114682758992
55,C4-1,T7-0,0.06809432955416841,0.05358151919100355,0.1990308332828309,0.11198852025238658
56,C4-1,P7-0,0.0865317315517286,0.1129155920492892,0.1818833259338292,0.2229880272758431
57,C4-1,C4-0,0.07846481078365826,0.21088016143089755,0.07012872532427608,0.1820530481772035
58,C4-1,T8-0,0.05666652738098067,0.4018165968155339,0.18067467359864592,0.09199209172902664
59,C4-1,P8-0,0.1356552008202189,0.33053152529423124,0.22224132667926175,0.17775651063186698
60,T8-1,C3-0,0.036477774827438685,0.05967402665701906,0.0569464189187406,0.15152198292386326
61,T8-1,T7-0,0.11122350707765973,0.0718149200943868,0.15333741011690644,0.06241156560633007
62,T8-1,P7-0,0.1451464885471426,0.07724080092113307,0.1622083144225934,0.17326162489515234
63,T8-1,C4-0,0.1830705127763471,0.22049236130607425,0.19264999862411425,0.05901808322628532
64,T8-1,T8-0,0.09909812021586832,0.2195825719931959,0.18454313657805949,0.061702969335617024
65,T8-1,P8-0,0.07099634527984751,0.06658284512364643,0.11947257918449035,0.08555866021644673
66,P8-1,C3-0,0.029295694237999926,0.14192505041912776,0.07857353506898046,0.15561455450560532
67,P8-1,T7-0,0.06908056584357372,0.18396933228153706,0.1432202322599807,0.07791185607220552
68,P8-1,P7-0,0.10958604918839863,0.1118518760261868,0.06971751101360366,0.08530703499431573
69,P8-1,C4-0,0.08535473189201936,0.059739411084982215,0.13438713352773252,0.07943859946234401
70,P8-1,T8-0,0.1305543310700669,0.07602989025650078,0.04784251465719674,0.2842289642489761
71,P8-1,P8-0,0.07014635377120099,0.08709162647528111,0.16811187426886615,0.1483843199839373
72,C3-1,C3-0,0.2202205561406766,0.09843210213442308,0.048913905553086834,0.24819079254157955
73,C3-1,T7-0,0.3996300944609084,0.10118708101702516,0.09097598627575028,0.11776818939135893
74,C3-1,P7-0,0.13448102298494838,0.2805166717877162,0.2861981274560654,0.1924719401376428
75,C3-1,C4-0,0.24467224845465935,0.3638175626376297,0.2950166260989322,0.28069996981653234
76,C3-1,T8-0,0.123866555707123,0.05357174354739205,0.03901960113617632,0.3306659010864937
77,C3-1,P8-0,0.11404876624766415,0.11817131225914718,0.17485724742006942,0.1559315638333292
78,T7-1,C3-0,0.2442601247265757,0.15571875022793186,0.11898210983171427,0.12601479443441282
79,T7-1,T7-0,0.2654726581238773,0.17114081829340494,0.3971111742876045,0.09603373075185813
80,T7-1,P7-0,0.29346862483193625,0.20789207488059036,0.3090001240271419,0.08594068872598831
81,T7-1,C4-0,0.13113276525333425,0.09742729203965617,0.09026052306226952,0.11328790712686107
82,T7-1,T8-0,0.06873064890082671,0.08736477795535663,0.04590861531596082,0.11549622815248355
83,T7-1,P8-0,0.3325952178798083,0.26190867283050984,0.1565373608710345,0.12714267385390216
84,P7-1,C3-0,0.0806178114494364,0.0572632240557984,0.10817384674363263,0.2410981109852556
85,P7-1,T7-0,0.2737587495117485,0.0685929307171654,0.20988459337925847,0.11105609232843253
86,P7-1,P7-0,0.3510381937741012,0.24915310751819364,0.203466014884364,0.13975155681093868
87,P7-1,C4-0,0.22923752190026225,0.21923282242483386,0.056630129394400215,0.06731610763125473
88,P7-1,T8-0,0.04354837335199918,0.059909869499181076,0.048763846152453334,0.12647336309557314
89,P7-1,P8-0,0.13434066856329627,0.16817351619202975,0.2931778049813986,0.14920652723830946
90,C4-1,C3-0,0.1422609834971079,0.06809757232948371,0.11471256683491853,0.2795923942909665
91,C4-1,T7-0,0.17491189947548055,0.15761128860113205,0.16026758672837552,0.1354785322764503
92,C4-1,P7-0,0.08714152073538488,0.4574302927172914,0.29937601551313753,0.18048571877282985
93,C4-1,C4-0,0.1547139708780704,0.1169584955828816,0.1240271679647149,0.10518967109488353
94,C4-1,T8-0,0.0831245764359559,0.031247032664243012,0.06548068426858314,0.1911821705413544
95,C4-1,P8-0,0.05480107603184573,0.2051742493167736,0.10563925527341197,0.060006397394668176
96,T8-1,C3-0,0.08290071856231161,0.1885276502585954,0.1195187954070889,0.18876458431062296
97,T8-1,T7-0,0.2204156977801913,0.16922596877124346,0.11202953581535913,0.07789333596069317
98,T8-1,P7-0,0.17186452371255045,0.12322188221959035,0.4747521190657669,0.1759402483445363
99,T8-1,C4-0,0.1258139365840061,0.1873650187899074,0.19676570726922024,0.16918070729477735
100,T8-1,T8-0,0.1601147736940309,0.08067067375832097,0.1281832124705049,0.06913728635626384
101,T8-1,P8-0,0.3391157585560955,0.0809624959719756,0.1697307392573362,0.2272428601179151
102,P8-1,C3-0,0.04337980181117091,0.07986655059048281,0.0430706194662186,0.05991941725852885
